key,name,loc
2000,로저,0
2001,센,0
2002,피터,0
2003,로빈,0
2004,토드,0
2005,쌤,0
2006,티앤크,0
2007,메이플 운영자,0
2008,슈가,0
2100,세라,0
2101,히나,0
2102,다나,0
2103,마리아,0
10000,피오,0
10200,헬레나,0
10201,하인즈,0
10202,주먹펴고 일어서,0
10203,다크로드,0
10204,카이린,0
10300,???,0
10301,마이,0
10302,마이,0
10303,마이,0
10304,루카스,0
10305,바실리,0
10306,슈가,0
10307,테스,0
10308,올리비아,0
10309,론도,0
10310,새어나오는 빛,0
11000,시드,0
11100,루시,0
12000,루카스,0
12100,마이,0
12101,레인,0
20000,존,0
20001,바리,0
20002,빅스,0
20100,유나,0
21000,판,0
22000,바실리,0
22001,바실리,0
1001000,실버,0
1001001,나타샤,0
1001100,미나,0
1002000,필,0
1002001,테오,0
1002002,페이슨,0
1002003,몽롱 할배,0
1002004,리스항구 모범택시,0
1002005,김서방,0
1002006,체프,0
1002007,리스항구 중형택시,0
1002008,페이슨,0
1002009,돌고래,0
1002010,돌고래,0
1002100,제인,0
1002101,쿤,0
1002102,일스,0
1002103,리더 알,0
1002104,트루,0
1002105,디멘션 게이트,0
1010100,리나,0
1011000,칼,0
1011001,샘,0
1011100,루나,0
1011101,오심마,0
1012000,빅토리아 중형택시,0
1012001,돌팔이,0
1012002,비셔스,0
1012003,장로 스탄,0
1012004,큐트,0
1012005,클로이,0
1012006,바르토스,0
1012007,프로드,0
1012008,카이지,0
1012009,이서방,0
1012100,헬레나,0
1012101,마야,0
1012102,피아,0
1012103,나탈리,0
1012104,브리트니,0
1012105,나미녀,0
1012106,밍밍부인,0
1012107,유타,0
1012108,카밀라,0
1012109,제이,0
1012110,앤,0
1012111,브루스,0
1012112,토리,0
1012113,토미,0
1012114,어흥이,0
1012115,헤네시스 풀숲,0
1012116,헤네시스 풀숲,0
1012117,빅 헤드워드,0
1012118,왕연해,0
1012119,왕연해,0
1012120,버려진 고양이,0
1012121,의류수거함,0
1012122,도로,0
1012123,써니,0
1012124,리시,0
1012125,주황버섯 수배표지판,0
1012126,초록버섯 수배표지판,0
1012127,뿔버섯 수배표지판,0
1012128,파란버섯 수배표지판,0
1012129,좀비버섯 수배표지판,0
1012130,머쉬맘 수배표지판,0
1012131,블루머쉬맘 수배표지판,0
1012132,좀비머쉬맘 수배표지판,0
1012133,우체통,0
1012134,헬레나,0
1013000,미르,0
1013001,드래곤,0
1013002,드래곤의 둥지,0
1013100,애나,0
1013101,유타,0
1013102,불독,0
1013103,그리드,0
1013104,달걀통,0
1013105,젖소,0
1013106,빛나는 비석,0
1013200,아기 돼지,0
1013201,카밀라,0
1013202,검은 그림자,0
1013203,이베흐,0
1013204,이베흐,0
1013205,아프리엔,0
1013206,이베흐,0
1013207,쿤,0
1013208,미르,0
1013209,미르,0
1013300,브리,0
1013301,고다,0
1013302,마스카포,0
1013303,모차모차,0
1013304,파르미,0
1013305,고대의 함,0
1013306,마스카포,0
1013307,브리,0
1013308,브리,0
1013309,브리,0
1013310,고르곤,0
1013311,고르곤,0
1013312,브리,0
1013313,브리,0
1013314,브리,0
1013315,브리,0
1013316,브리,0
1013317,브리,0
1013318,유적의 사념,0
1013319,브리,0
1013321,고대의 나침반,0
1013322,카루파의 마을 주민,0
1013323,카루파의 마을 주민,0
1013324,나침반 조각,0
1013325,나침반 조각,0
1013326,돌 절구,0
1013350,브리,0
1013351,고르곤,0
1013352,고다,0
1013353,마스카포,0
1013354,모차모차,0
1013355,파르미,0
1013356,카루파의 마을 주민,0
1013357,카루파의 마을 주민,0
1013358,패스파인더,0
1013359,패스파인더,0
1013360,유적의 사념,0
1013361,헬레나의 편지,0
1013400,매기,0
1013401,모리,0
1013402,모리,0
1013403,나인하트,0
1013404,모리,0
1013405,캐스퍼,0
1013406,캐스퍼,0
1013407,캐스퍼,0
1013408,발터,0
1013409,캐스퍼,0
1013410,발터,0
1013411,캐스퍼,0
1013412,발터,0
1013413,멜키,0
1013414,나인하트,0
1013415,캐스퍼,0
1013416,발터,0
1013417,멜키,0
1013418,캐스퍼,0
1013419,발터,0
1013420,멜키,0
1013421,캐스퍼,0
1013422,발터,0
1013423,멜키,0
1013424,매기,0
1013425,나인하트,0
1013426,멜키,0
1013427,발터,0
1013428,캐스퍼,0
1013429,낡은 항아리,0
1013430,보라색 천,0
1013431,발톱조각상,0
1013432,화로,0
1013433,화로,0
1013440,멜키,0
1013441,발터,0
1013442,캐스퍼,0
1013443,???,0
1013444,???,0
1013445,???,0
1013446,매기,0
1013447,나인하트,0
1013448,저주받은 항아리,0
1013449,유물 3종,0
1020000,돼지와 함께 춤을,0
1021000,리버,0
1021001,해리,0
1021100,그레고리 손,0
1022000,주먹펴고 일어서,0
1022001,페리온 중형택시,0
1022002,만지,0
1022003,선더,0
1022004,스미스,0
1022005,왕서방,0
1022006,윈스턴,0
1022007,이얀,0
1022008,불타버린 검,0
1022100,소피아,0
1022101,루니,0
1022102,유적 발굴단 게시판,0
1022103,분수 조각상,0
1022104,왕연해,0
1022105,왕연해,0
1022106,지미,0
1022107,페리온 경고판,0
1022108,주먹펴고 일어서,0
1022109,지미,0
1022110,페리온 경고판,0
1022111,유적 발굴단 게시판,0
1022112,유적 발굴단 게시판,0
1022113,유적 발굴단 게시판,0
1022114,유적 발굴단 게시판,0
1022115,유적 발굴단 게시판,0
1022116,페리온 경고판,0
1022117,페리온 경고판,0
1031000,요정 플로라,0
1031001,요정 세라비,0
1031100,요정 렌,0
1032000,엘리니아 중형택시,0
1032001,하인즈,0
1032002,에뜨랑,0
1032003,쉐인,0
1032004,루이스,0
1032005,엘리니아 모범택시,0
1032006,박서방,0
1032007,죠엘,0
1032008,체리,0
1032009,푸린,0
1032100,요정 아르웬,0
1032101,요정 로웬,0
1032102,요정 마르,0
1032103,엘모스,0
1032104,베티,0
1032105,에스텔,0
1032106,요정 윙,0
1032107,리프,0
1032108,리프,0
1032109,마법도서관 구석,0
1032110,마법도서관 구석,0
1032111,작은 그루터기,0
1032112,말하는 나무,0
1032113,왕연해,0
1032114,왕연해,0
1032116,마법물약도감,0
1032200,라니아,0
1032201,라니아,0
1032202,페니,0
1032203,라니아,0
1032204,의문의 수행자,0
1032205,라니아,0
1032206,페니,0
1032207,로로,0
1032208,로로,0
1032209,비어완,0
1032210,비어완,0
1032211,수호자 로봇,0
1032212,요원 N,0
1032213,요원 O,0
1032214,2대 마스터,0
1032215,수호자 로봇,0
1032216,라니아,0
1032217,라니아,0
1032218,마법도서관 체크용,0
1032219,마법도서관 체크용,0
1032220,마법도서관 체크용,0
1033000,헤르메스,0
1033001,이토스,0
1033002,악티,0
1033100,필리우스,0
1033101,다니카,0
1033102,아스틸라,0
1033103,클레스,0
1033104,디테,0
1033105,로아,0
1033106,뮤네,0
1033107,랄리크,0
1033108,크루소,0
1033109,페일,0
1033110,오르골,0
1033111,지식의 전당,0
1033112,신비한 포탈,0
1033200,프리드,0
1033201,아프리엔,0
1033202,필리우스,0
1033203,다니카,0
1033204,아스틸라,0
1033205,에우렐 입구,0
1033206,오르골,0
1033210,위대한 정신,0
1033211,엘프의 하프,0
1033220,수원의 기둥,0
1033221,헬레나,0
1033222,헬레나,0
1033223,프란시스,0
1033224,그림자 무사의 편지,0
1033225,그림자 무사,0
1033226,헬레나의 편지,0
1033227,레드티,0
1033228,다고쓰,0
1033229,협박장,0
1033230,오르카,0
1033231,뮤네,0
1033232,헬레나,0
1033233,깜찍이,0
1033240,실피디아,0
1040000,루크,0
1040001,마이크,0
1040002,펜시,0
1040003,펜시,0
1040004,루바르,0
1043000,꽃 무더기,0
1043001,약초 덤불,0
1043002,빈 벽,0
1043003,파란 술병,0
1043004,말하는 나무,0
1043005,제피,0
1051000,만슈타인,0
1051001,마파,0
1051002,소문난,0
1052000,알렉스,0
1052001,다크로드,0
1052002,뒷골목의 제이엠,0
1052003,크리스,0
1052004,덴마,0
1052005,돌팔이,0
1052006,웅이,0
1052007,개찰구,0
1052008,보물상자,0
1052009,보물상자,0
1052010,보물상자,0
1052011,나가는 곳,0
1052012,몽롱,0
1052013,컴퓨터,0
1052014,자판기,0
1052015,빌리,0
1052016,커닝시티 중형택시,0
1052017,홍서방,0
1052100,돈 지오바네,0
1052101,안드레아,0
1052102,슈미,0
1052103,넬라,0
1052104,툴카스,0
1052105,정체불명의 그녀,0
1052106,이카루스,0
1052107,작은 가로등,0
1052108,넘어진 쓰레기통,0
1052109,지하철 휴지통,0
1052110,지하철 휴지통,0
1052111,지하철 휴지통,0
1052112,지하철 휴지통,0
1052113,왕연해,0
1052114,왕연해,0
1052115,임차장,0
1052116,탐탐,0
1052117,혁이의 본심,0
1052118,사물함,0
1052119,라라,0
1052120,노마에,0
1052121,라나,0
1052122,티나,0
1052123,동동,0
1052124,마샬,0
1052125,준이,0
1052126,선대 다크로드의 일기장,0
1052127,다크로드,0
1052128,누군가의 모자,0
1052129,명약국 서랍1,0
1052130,명약국 서랍2,0
1052131,명약국 서랍3,0
1052132,명약국 서랍4,0
1052133,정체불명의 그녀,0
1052134,에닌,0
1052135,혁이,0
1052136,엘리베이터,0
1052137,혁이의 기타,0
1052200,웅이의 초대장,0
1052201,사무실 TV,0
1052202,사무실 TV,0
1052203,혁이,0
1052204,혁이,0
1052205,에닌,0
1052206,디아,0
1052207,루비,0
1052208,사피,0
1052209,페리,0
1052210,아미,0
1052211,아미,0
1052212,디아,0
1052213,루비,0
1052214,사피,0
1052215,페리,0
1052216,아미,0
1052217,MC 마샬,0
1052218,리코타,0
1052219,파니르,0
1052220,연습실의 기타,0
1052221,혁이,0
1052222,디아,0
1052223,루비,0
1052224,사피,0
1052225,페리,0
1052226,아미,0
1052227,에닌,0
1052228,연습실의 기타,0
1052229,혁이,0
1052230,디아,0
1052231,루비,0
1052232,사피,0
1052233,페리,0
1052234,아미,0
1052235,혁이,0
1052236,디아,0
1052237,루비,0
1052238,사피,0
1052239,페리,0
1052240,아미,0
1052241,혁이,0
1052242,팬클럽,0
1052243,팬클럽,0
1052244,열성팬,0
1052245,손님,0
1052246,손님,0
1052247,손님,0
1052248,손님,0
1052249,손님,0
1052250,손님,0
1052251,손님,0
1052252,손님,0
1052253,손님,0
1052254,준이,0
1052255,수상한 기타,0
1055000,영채,0
1055001,두영,0
1055002,태하,0
1056000,설희,0
1057000,시바,0
1057001,홍아,0
1057002,연우,0
1057003,수리,0
1057004,선대 다크로드,0
1057006,정체불명의 발신인,0
1058000,수리,0
1058001,휴이,0
1058002,다크로드의 일지,0
1058003,무영의 창고,0
1061000,크리슈라마,0
1061001,24시간 포장마차,0
1061002,시원해,0
1061003,시워언해,0
1061004,로니,0
1061005,사비트라마,0
1061006,이상한 모양의 석상,0
1061007,부서지고 있는 석상,0
1061008,오서방,0
1061009,차원의 문,0
1061010,빛나는 수정,0
1061011,기억하고 있는 자,0
1061012,의미없는 존재,0
1061013,그윈,0
1061014,무영,0
1061015,트리스탄의 영혼,0
1061016,수상남,0
1061017,트리스탄의 영혼,0
1061018,무영,0
1061019,일지,0
1061020,천지,0
1061021,시워언해,0
1061100,호텔 안내원,0
1063000,분홍색 꽃 무더기,0
1063001,파란색 꽃 무더기,0
1063002,흰색 꽃 무더기,0
1063003,초록버섯 수배표지판,0
1063004,커즈아이 수배표지판,0
1063005,이블아이 수배표지판,0
1063006,콜드아이 수배표지판,0
1063007,좀비버섯 수배표지판,0
1063008,뿔버섯 수배표지판,0
1063009,주니어 부기 수배표지판,0
1063010,드레이크 수배표지판,0
1063011,이블아이의 굴 벽,0
1063012,영험한 돌,0
1063013,영험한 돌,0
1063014,알 수 없는 종이조각,0
1063015,지하신전 입구,0
1063016,신기하게 생긴 석상,0
1063017,기괴하게 생긴 석상,0
1063018,남겨진 인형,0
1064000,나인하트,0
1064001,의문의 소녀,0
